RPM,TinjA,TinjB,Tinj,Prail,Vinj_cum
1000.0000000000,442.0000000000,842.0000000000,1284.0000000000,925.3292577697,0.0000153707
1000.0000000000,352.0000000000,745.0000000000,1097.0000000000,947.7177546218,0.0000157557
1000.0000000000,473.0000000000,533.0000000000,1006.0000000000,940.6498503366,0.0000161072
1000.0000000000,499.0000000000,729.0000000000,1228.0000000000,931.0562701409,0.0000165337
1000.0000000000,346.0000000000,688.0000000000,1034.0000000000,940.2366399896,0.0000168949
1000.0000000000,429.0000000000,615.0000000000,1044.0000000000,951.3857135116,0.0000172620
1000.0000000000,398.0000000000,612.0000000000,1010.0000000000,1091.4616488187,0.0000176464
1000.0000000000,312.0000000000,596.0000000000,908.0000000000,1079.2219085402,0.0000179896
1000.0000000000,424.0000000000,898.0000000000,1322.0000000000,1012.7323557245,0.0000184716
1000.0000000000,432.0000000000,684.0000000000,1116.0000000000,1086.2783722959,0.0000188951
1000.0000000000,364.0000000000,818.0000000000,1182.0000000000,1025.9122431364,0.0000193293
1000.0000000000,357.0000000000,634.0000000000,991.0000000000,946.3862020967,0.0000196768
1000.0000000000,412.0000000000,826.0000000000,1238.0000000000,909.2333516954,0.0000201008
1000.0000000000,364.0000000000,894.0000000000,1258.0000000000,1013.6066937794,0.0000205597
1000.0000000000,480.0000000000,666.0000000000,1146.0000000000,1076.4697905899,0.0000209924
1000.0000000000,460.0000000000,628.0000000000,1088.0000000000,1035.8685196386,0.0000213942
1000.0000000000,456.0000000000,893.0000000000,1349.0000000000,918.2247900711,0.0000218590
1000.0000000000,353.0000000000,510.0000000000,863.0000000000,991.8941139078,0.0000221699
1000.0000000000,371.0000000000,789.0000000000,1160.0000000000,1005.4288863193,0.0000225911
1000.0000000000,452.0000000000,710.0000000000,1162.0000000000,1048.7395728093,0.0000230233
1000.0000000000,486.0000000000,707.0000000000,1193.0000000000,1060.3069472880,0.0000234698
1000.0000000000,468.0000000000,688.0000000000,1156.0000000000,1071.1092924580,0.0000239050
1000.0000000000,346.0000000000,893.0000000000,1239.0000000000,977.4290206774,0.0000243476
1000.0000000000,475.0000000000,774.0000000000,1249.0000000000,942.6221243247,0.0000247845
1000.0000000000,463.0000000000,680.0000000000,1143.0000000000,1087.8538569622,0.0000252186
1000.0000000000,301.0000000000,843.0000000000,1144.0000000000,933.5128765091,0.0000256166
1000.0000000000,453.0000000000,624.0000000000,1077.0000000000,974.1267152700,0.0000260006
1000.0000000000,476.0000000000,593.0000000000,1069.0000000000,947.7030536956,0.0000263757
1000.0000000000,444.0000000000,819.0000000000,1263.0000000000,907.9865288090,0.0000268080
1000.0000000000,354.0000000000,715.0000000000,1069.0000000000,983.2356478290,0.0000271912
1000.0000000000,384.0000000000,704.0000000000,1088.0000000000,1097.6569200667,0.0000276065
1000.0000000000,331.0000000000,512.0000000000,843.0000000000,1025.2909911286,0.0000279160
1000.0000000000,450.0000000000,562.0000000000,1012.0000000000,1000.3018178992,0.0000282824
1000.0000000000,450.0000000000,653.0000000000,1103.0000000000,921.4593273701,0.0000286632
1000.0000000000,445.0000000000,695.0000000000,1140.0000000000,928.4647638071,0.0000290585
1000.0000000000,409.0000000000,565.0000000000,974.0000000000,912.5212612877,0.0000293928
1000.0000000000,463.0000000000,780.0000000000,1243.0000000000,1023.6384431855,0.0000298488
1000.0000000000,380.0000000000,576.0000000000,956.0000000000,920.0268283615,0.0000301785
1000.0000000000,343.0000000000,612.0000000000,955.0000000000,932.6048546879,0.0000305105
1000.0000000000,485.0000000000,859.0000000000,1344.0000000000,1069.0988388538,0.0000310160
1000.0000000000,469.0000000000,654.0000000000,1123.0000000000,932.3828841256,0.0000314063
1000.0000000000,332.0000000000,548.0000000000,880.0000000000,1005.8175149228,0.0000317259
1000.0000000000,496.0000000000,801.0000000000,1297.0000000000,916.5759795364,0.0000321723
1000.0000000000,463.0000000000,673.0000000000,1136.0000000000,1032.0519109101,0.0000325910
1000.0000000000,437.0000000000,878.0000000000,1315.0000000000,1013.8934153008,0.0000330707
1000.0000000000,426.0000000000,546.0000000000,972.0000000000,905.5753945608,0.0000334029
1000.0000000000,467.0000000000,731.0000000000,1198.0000000000,1003.4719586477,0.0000338374
1000.0000000000,418.0000000000,538.0000000000,956.0000000000,1090.9698825007,0.0000342011
1000.0000000000,390.0000000000,866.0000000000,1256.0000000000,903.4934022943,0.0000346297
1000.0000000000,347.0000000000,615.0000000000,962.0000000000,1004.8348830049,0.0000349789
1000.0000000000,493.0000000000,657.0000000000,1150.0000000000,981.1539855533,0.0000353906
1000.0000000000,498.0000000000,744.0000000000,1242.0000000000,1031.1739847346,0.0000358481
1000.0000000000,409.0000000000,756.0000000000,1165.0000000000,1001.7304206888,0.0000362702
1000.0000000000,421.0000000000,513.0000000000,934.0000000000,1014.9792432092,0.0000366112
1000.0000000000,334.0000000000,626.0000000000,960.0000000000,914.2668942651,0.0000369411
1000.0000000000,496.0000000000,856.0000000000,1352.0000000000,1064.3287518568,0.0000374483
1000.0000000000,437.0000000000,791.0000000000,1228.0000000000,1022.1173239396,0.0000378984
1000.0000000000,310.0000000000,630.0000000000,940.0000000000,1095.7842732860,0.0000382568
1000.0000000000,457.0000000000,750.0000000000,1207.0000000000,920.6319843077,0.0000386733
1000.0000000000,362.0000000000,766.0000000000,1128.0000000000,1065.6311831316,0.0000390967
1000.0000000000,402.0000000000,607.0000000000,1009.0000000000,980.2970644075,0.0000394578
1000.0000000000,301.0000000000,696.0000000000,997.0000000000,1076.4904884218,0.0000398342
1000.0000000000,319.0000000000,518.0000000000,837.0000000000,943.0054659338,0.0000401270
1000.0000000000,375.0000000000,708.0000000000,1083.0000000000,927.0169689786,0.0000405022
1000.0000000000,406.0000000000,634.0000000000,1040.0000000000,1049.4881797486,0.0000408892
1000.0000000000,491.0000000000,784.0000000000,1275.0000000000,944.9317522694,0.0000413359
1000.0000000000,457.0000000000,666.0000000000,1123.0000000000,1089.4934396291,0.0000417627
1000.0000000000,467.0000000000,742.0000000000,1209.0000000000,986.9038130882,0.0000421970
1000.0000000000,367.0000000000,646.0000000000,1013.0000000000,1003.9273948991,0.0000425645
1000.0000000000,380.0000000000,596.0000000000,976.0000000000,1046.2538329208,0.0000429271
1000.0000000000,495.0000000000,748.0000000000,1243.0000000000,1072.7826724547,0.0000433954
1000.0000000000,460.0000000000,665.0000000000,1125.0000000000,950.7709455389,0.0000437909
1000.0000000000,357.0000000000,694.0000000000,1051.0000000000,1035.0404779391,0.0000441789
1000.0000000000,330.0000000000,692.0000000000,1022.0000000000,1028.4996498672,0.0000445549
1000.0000000000,493.0000000000,734.0000000000,1227.0000000000,1052.3411516419,0.0000450121
1000.0000000000,358.0000000000,896.0000000000,1254.0000000000,900.3019873897,0.0000454392
1000.0000000000,389.0000000000,887.0000000000,1276.0000000000,1025.1281466498,0.0000459077
1000.0000000000,307.0000000000,844.0000000000,1151.0000000000,923.1175567775,0.0000463055
1000.0000000000,343.0000000000,745.0000000000,1088.0000000000,948.9930639301,0.0000466876
1000.0000000000,339.0000000000,595.0000000000,934.0000000000,1087.2143496447,0.0000470422
1000.0000000000,315.0000000000,776.0000000000,1091.0000000000,988.4408169600,0.0000474344
1000.0000000000,400.0000000000,630.0000000000,1030.0000000000,1050.6407690008,0.0000478180
1000.0000000000,416.0000000000,715.0000000000,1131.0000000000,1098.7385395783,0.0000482499
1000.0000000000,340.0000000000,574.0000000000,914.0000000000,1019.0319370795,0.0000485844
1000.0000000000,393.0000000000,699.0000000000,1092.0000000000,1033.7156837999,0.0000489872
1000.0000000000,360.0000000000,674.0000000000,1034.0000000000,994.9677841059,0.0000493604
1000.0000000000,375.0000000000,889.0000000000,1264.0000000000,945.9768701173,0.0000498035
1000.0000000000,307.0000000000,555.0000000000,862.0000000000,983.1175457990,0.0000501124
1000.0000000000,449.0000000000,548.0000000000,997.0000000000,944.0229974817,0.0000504615
1000.0000000000,493.0000000000,608.0000000000,1101.0000000000,1012.1051801397,0.0000508628
1000.0000000000,440.0000000000,524.0000000000,964.0000000000,953.8923488440,0.0000512023
1000.0000000000,471.0000000000,873.0000000000,1344.0000000000,972.4281151629,0.0000516810
1000.0000000000,415.0000000000,643.0000000000,1058.0000000000,1090.8758573743,0.0000520835
1000.0000000000,401.0000000000,895.0000000000,1296.0000000000,992.9302411586,0.0000525507
1000.0000000000,350.0000000000,560.0000000000,910.0000000000,1060.9800182949,0.0000528914
1000.0000000000,301.0000000000,786.0000000000,1087.0000000000,1071.4250503036,0.0000533007
1000.0000000000,330.0000000000,792.0000000000,1122.0000000000,1015.5430500368,0.0000537104
1000.0000000000,463.0000000000,882.0000000000,1345.0000000000,990.4877992224,0.0000541945
1000.0000000000,402.0000000000,582.0000000000,984.0000000000,955.5680988084,0.0000545415
1000.0000000000,456.0000000000,642.0000000000,1098.0000000000,939.1939823352,0.0000549248
1000.0000000000,426.0000000000,838.0000000000,1264.0000000000,947.0479846998,0.0000553682
1000.0000000000,449.0000000000,651.0000000000,1100.0000000000,1017.1708698009,0.0000557702
1000.0000000000,353.0000000000,645.0000000000,998.0000000000,1032.3036585886,0.0000561381
1000.0000000000,431.0000000000,710.0000000000,1141.0000000000,1011.2068203178,0.0000565537
1000.0000000000,417.0000000000,560.0000000000,977.0000000000,990.9075130603,0.0000569055
1000.0000000000,348.0000000000,760.0000000000,1108.0000000000,1056.9125607910,0.0000573195
1000.0000000000,473.0000000000,624.0000000000,1097.0000000000,1082.3080424047,0.0000577349
1000.0000000000,418.0000000000,553.0000000000,971.0000000000,1047.5839007697,0.0000580958
1000.0000000000,305.0000000000,772.0000000000,1077.0000000000,914.2363585651,0.0000584659
1000.0000000000,418.0000000000,624.0000000000,1042.0000000000,916.8325291323,0.0000588246
1000.0000000000,408.0000000000,728.0000000000,1136.0000000000,947.2524997062,0.0000592231
1000.0000000000,498.0000000000,733.0000000000,1231.0000000000,976.2522346728,0.0000596626
1000.0000000000,326.0000000000,647.0000000000,973.0000000000,913.4454472311,0.0000599968
1000.0000000000,346.0000000000,637.0000000000,983.0000000000,1091.8883097269,0.0000603709
1000.0000000000,320.0000000000,771.0000000000,1091.0000000000,1061.8415327014,0.0000607796
1000.0000000000,354.0000000000,644.0000000000,998.0000000000,1036.6828596747,0.0000611484
1000.0000000000,466.0000000000,886.0000000000,1352.0000000000,928.3162417926,0.0000616171
1000.0000000000,423.0000000000,859.0000000000,1282.0000000000,965.7480221243,0.0000620719
1000.0000000000,488.0000000000,760.0000000000,1248.0000000000,997.8614062652,0.0000625231
1000.0000000000,317.0000000000,889.0000000000,1206.0000000000,987.3626113075,0.0000629564
1000.0000000000,348.0000000000,505.0000000000,853.0000000000,1047.6154326810,0.0000632735
1000.0000000000,367.0000000000,527.0000000000,894.0000000000,988.0173019849,0.0000635949
1000.0000000000,405.0000000000,591.0000000000,996.0000000000,974.4958321547,0.0000639501
1000.0000000000,424.0000000000,805.0000000000,1229.0000000000,924.5183552557,0.0000643752
1000.0000000000,389.0000000000,724.0000000000,1113.0000000000,1042.3111187746,0.0000647877
1000.0000000000,469.0000000000,667.0000000000,1136.0000000000,1055.2187198802,0.0000652117
1000.0000000000,440.0000000000,658.0000000000,1098.0000000000,994.2051734914,0.0000656078
1000.0000000000,387.0000000000,543.0000000000,930.0000000000,1079.6584187136,0.0000659595
1000.0000000000,362.0000000000,735.0000000000,1097.0000000000,980.5923102891,0.0000663521
1000.0000000000,417.0000000000,694.0000000000,1111.0000000000,939.7358399381,0.0000667401
1000.0000000000,327.0000000000,658.0000000000,985.0000000000,969.3177982254,0.0000670903
1000.0000000000,339.0000000000,634.0000000000,973.0000000000,996.6429028965,0.0000674418
1000.0000000000,305.0000000000,751.0000000000,1056.0000000000,1023.6807278192,0.0000678292
1000.0000000000,329.0000000000,880.0000000000,1209.0000000000,1016.2461198238,0.0000682708
1000.0000000000,419.0000000000,768.0000000000,1187.0000000000,958.9800960637,0.0000686902
1000.0000000000,310.0000000000,615.0000000000,925.0000000000,966.5391584246,0.0000690185
1000.0000000000,456.0000000000,805.0000000000,1261.0000000000,916.9958089619,0.0000694526
1000.0000000000,429.0000000000,899.0000000000,1328.0000000000,913.2914493120,0.0000699087
1000.0000000000,440.0000000000,606.0000000000,1046.0000000000,1058.9836870938,0.0000703000
1000.0000000000,481.0000000000,692.0000000000,1173.0000000000,1012.3364165325,0.0000707275
1000.0000000000,334.0000000000,595.0000000000,929.0000000000,966.2280616513,0.0000710572
1000.0000000000,392.0000000000,698.0000000000,1090.0000000000,1064.9574023271,0.0000714662
1000.0000000000,405.0000000000,610.0000000000,1015.0000000000,1023.9281862064,0.0000718386
1000.0000000000,327.0000000000,580.0000000000,907.0000000000,1073.4984648998,0.0000721805
1000.0000000000,383.0000000000,897.0000000000,1280.0000000000,1052.5795037014,0.0000726576
1000.0000000000,365.0000000000,612.0000000000,977.0000000000,1004.0411420804,0.0000730120
1000.0000000000,413.0000000000,614.0000000000,1027.0000000000,1085.3318226644,0.0000734016
1000.0000000000,335.0000000000,651.0000000000,986.0000000000,958.1528444570,0.0000737498
1000.0000000000,469.0000000000,732.0000000000,1201.0000000000,1068.7958267852,0.0000742013
1000.0000000000,448.0000000000,580.0000000000,1028.0000000000,955.2863560594,0.0000745637
1000.0000000000,345.0000000000,880.0000000000,1225.0000000000,1047.7893582589,0.0000750191
1000.0000000000,473.0000000000,504.0000000000,977.0000000000,981.2278930702,0.0000753689
1000.0000000000,442.0000000000,712.0000000000,1154.0000000000,964.2944396532,0.0000757780
1000.0000000000,357.0000000000,762.0000000000,1119.0000000000,1008.6877304397,0.0000761850
1000.0000000000,399.0000000000,859.0000000000,1258.0000000000,1061.7190773051,0.0000766562
1000.0000000000,398.0000000000,754.0000000000,1152.0000000000,1045.7482300089,0.0000770840
1000.0000000000,371.0000000000,835.0000000000,1206.0000000000,1087.8392973867,0.0000775421
1000.0000000000,456.0000000000,791.0000000000,1247.0000000000,928.1017839662,0.0000779744
1000.0000000000,313.0000000000,626.0000000000,939.0000000000,930.0393422405,0.0000783003
1000.0000000000,340.0000000000,888.0000000000,1228.0000000000,962.0003608527,0.0000787350
1000.0000000000,464.0000000000,650.0000000000,1114.0000000000,967.7385596915,0.0000791306
1000.0000000000,433.0000000000,756.0000000000,1189.0000000000,1037.1585443310,0.0000795701
1000.0000000000,359.0000000000,556.0000000000,915.0000000000,1093.7684187579,0.0000799187
1000.0000000000,471.0000000000,584.0000000000,1055.0000000000,1073.1555935695,0.0000803163
1000.0000000000,329.0000000000,748.0000000000,1077.0000000000,1083.9686331023,0.0000807245
1000.0000000000,371.0000000000,583.0000000000,954.0000000000,976.8505402520,0.0000810651
1000.0000000000,413.0000000000,763.0000000000,1176.0000000000,974.2554430806,0.0000814845
1000.0000000000,487.0000000000,746.0000000000,1233.0000000000,1001.4518445139,0.0000819311
1000.0000000000,396.0000000000,577.0000000000,973.0000000000,987.3548207591,0.0000822807
1000.0000000000,458.0000000000,523.0000000000,981.0000000000,1002.7980601545,0.0000826364
1000.0000000000,363.0000000000,776.0000000000,1139.0000000000,1000.9457538878,0.0000830489
1000.0000000000,463.0000000000,830.0000000000,1293.0000000000,926.5780586215,0.0000834967
1000.0000000000,469.0000000000,884.0000000000,1353.0000000000,1012.1963496794,0.0000839899
1000.0000000000,372.0000000000,752.0000000000,1124.0000000000,920.2568985769,0.0000843776
1000.0000000000,376.0000000000,531.0000000000,907.0000000000,902.2825124117,0.0000846869
1000.0000000000,487.0000000000,758.0000000000,1245.0000000000,1030.8096393042,0.0000851454
1000.0000000000,318.0000000000,843.0000000000,1161.0000000000,1086.8148651971,0.0000855861
1000.0000000000,354.0000000000,856.0000000000,1210.0000000000,997.9735271123,0.0000860236
1000.0000000000,320.0000000000,716.0000000000,1036.0000000000,1009.0240899148,0.0000864005
1000.0000000000,499.0000000000,608.0000000000,1107.0000000000,906.8899035303,0.0000867792
1000.0000000000,463.0000000000,827.0000000000,1290.0000000000,1091.7288587090,0.0000872701
1000.0000000000,492.0000000000,738.0000000000,1230.0000000000,966.4281080308,0.0000877066
1000.0000000000,374.0000000000,689.0000000000,1063.0000000000,1036.2642535243,0.0000880993
1000.0000000000,428.0000000000,768.0000000000,1196.0000000000,1056.9593905907,0.0000885462
1000.0000000000,442.0000000000,765.0000000000,1207.0000000000,1070.6431504539,0.0000890004
1000.0000000000,447.0000000000,787.0000000000,1234.0000000000,1023.0956916906,0.0000894530
1000.0000000000,338.0000000000,606.0000000000,944.0000000000,985.9478880464,0.0000897919
1000.0000000000,395.0000000000,798.0000000000,1193.0000000000,904.4536367054,0.0000901993
1000.0000000000,384.0000000000,762.0000000000,1146.0000000000,1087.7457358763,0.0000906345
1000.0000000000,474.0000000000,561.0000000000,1035.0000000000,946.4465545859,0.0000909974
1000.0000000000,464.0000000000,503.0000000000,967.0000000000,983.6083096986,0.0000913441
1000.0000000000,447.0000000000,635.0000000000,1082.0000000000,950.4300139995,0.0000917244
1000.0000000000,387.0000000000,760.0000000000,1147.0000000000,1068.4553923836,0.0000921556
1000.0000000000,403.0000000000,578.0000000000,981.0000000000,936.1674214488,0.0000924974
1000.0000000000,331.0000000000,531.0000000000,862.0000000000,953.3571934406,0.0000928010
1000.0000000000,313.0000000000,558.0000000000,871.0000000000,959.1756383430,0.0000931087
1000.0000000000,433.0000000000,756.0000000000,1189.0000000000,1043.4576996160,0.0000935497
1000.0000000000,359.0000000000,597.0000000000,956.0000000000,968.1643740692,0.0000938894
1000.0000000000,320.0000000000,537.0000000000,857.0000000000,1087.3633451642,0.0000942148
1000.0000000000,399.0000000000,797.0000000000,1196.0000000000,1089.6723906634,0.0000946694
1000.0000000000,472.0000000000,742.0000000000,1214.0000000000,962.0398947636,0.0000950991
1000.0000000000,363.0000000000,710.0000000000,1073.0000000000,904.1067385400,0.0000954655
1000.0000000000,344.0000000000,733.0000000000,1077.0000000000,966.4787681935,0.0000958477
1000.0000000000,389.0000000000,517.0000000000,906.0000000000,1084.0361426870,0.0000961911
1000.0000000000,497.0000000000,783.0000000000,1280.0000000000,952.4462702537,0.0000966416
1000.0000000000,452.0000000000,609.0000000000,1061.0000000000,952.7916162299,0.0000970151
1000.0000000000,390.0000000000,669.0000000000,1059.0000000000,1070.6233337558,0.0000974136
1000.0000000000,324.0000000000,511.0000000000,835.0000000000,994.4733709678,0.0000977149
1000.0000000000,317.0000000000,814.0000000000,1131.0000000000,1056.0580898815,0.0000981373
1000.0000000000,409.0000000000,666.0000000000,1075.0000000000,955.6334937247,0.0000985163
1000.0000000000,489.0000000000,687.0000000000,1176.0000000000,977.0125357526,0.0000989363
1000.0000000000,496.0000000000,640.0000000000,1136.0000000000,942.8501636002,0.0000993338
1000.0000000000,388.0000000000,810.0000000000,1198.0000000000,1067.6367311135,0.0000997839
1000.0000000000,427.0000000000,857.0000000000,1284.0000000000,927.7921641605,0.0001002290
1000.0000000000,389.0000000000,714.0000000000,1103.0000000000,926.5272091732,0.0001006110
1000.0000000000,361.0000000000,760.0000000000,1121.0000000000,941.5286025787,0.0001010028
1000.0000000000,348.0000000000,787.0000000000,1135.0000000000,904.1611740177,0.0001013904
1000.0000000000,446.0000000000,622.0000000000,1068.0000000000,989.1468470262,0.0001017745
1000.0000000000,371.0000000000,779.0000000000,1150.0000000000,1051.5154702695,0.0001022029
1000.0000000000,476.0000000000,683.0000000000,1159.0000000000,1001.0602058716,0.0001026227
1000.0000000000,471.0000000000,702.0000000000,1173.0000000000,1034.0467358825,0.0001030555
1000.0000000000,312.0000000000,843.0000000000,1155.0000000000,904.7988332967,0.0001034500
1000.0000000000,366.0000000000,709.0000000000,1075.0000000000,1016.2239978345,0.0001038427
1000.0000000000,325.0000000000,533.0000000000,858.0000000000,1018.5270494686,0.0001041566
1000.0000000000,399.0000000000,702.0000000000,1101.0000000000,964.7921014889,0.0001045469
1000.0000000000,449.0000000000,580.0000000000,1029.0000000000,1080.1578383639,0.0001049362
1000.0000000000,457.0000000000,692.0000000000,1149.0000000000,1098.9182987817,0.0001053751
1000.0000000000,373.0000000000,869.0000000000,1242.0000000000,906.5623491621,0.0001057998
1000.0000000000,434.0000000000,675.0000000000,1109.0000000000,1086.2810534594,0.0001062206
1000.0000000000,305.0000000000,530.0000000000,835.0000000000,980.6467294489,0.0001065195
1000.0000000000,477.0000000000,528.0000000000,1005.0000000000,1013.8261702096,0.0001068861
1000.0000000000,434.0000000000,548.0000000000,982.0000000000,950.5952038618,0.0001072313
1000.0000000000,440.0000000000,670.0000000000,1110.0000000000,947.0157876741,0.0001076207
1000.0000000000,463.0000000000,736.0000000000,1199.0000000000,1058.5810293718,0.0001080690
1000.0000000000,488.0000000000,600.0000000000,1088.0000000000,921.9823267835,0.0001084448
1000.0000000000,330.0000000000,734.0000000000,1064.0000000000,1096.6767426445,0.0001088507
1000.0000000000,447.0000000000,535.0000000000,982.0000000000,1014.9824967924,0.0001092092
1000.0000000000,485.0000000000,711.0000000000,1196.0000000000,940.3464610195,0.0001096270
1000.0000000000,437.0000000000,546.0000000000,983.0000000000,1075.3470957226,0.0001099979
1000.0000000000,332.0000000000,798.0000000000,1130.0000000000,1013.0394770278,0.0001104100
1000.0000000000,458.0000000000,521.0000000000,979.0000000000,961.0412881823,0.0001107563
1000.0000000000,366.0000000000,593.0000000000,959.0000000000,981.4334159440,0.0001110997
1000.0000000000,499.0000000000,719.0000000000,1218.0000000000,943.2339945048,0.0001115259
1000.0000000000,484.0000000000,705.0000000000,1189.0000000000,955.3739906835,0.0001119451
1000.0000000000,352.0000000000,733.0000000000,1085.0000000000,1072.9585117082,0.0001123540
1000.0000000000,323.0000000000,808.0000000000,1131.0000000000,944.2840714531,0.0001127500
1000.0000000000,465.0000000000,727.0000000000,1192.0000000000,928.9228175558,0.0001131634
1000.0000000000,345.0000000000,768.0000000000,1113.0000000000,920.3019731163,0.0001135474
1000.0000000000,396.0000000000,855.0000000000,1251.0000000000,988.1819215655,0.0001139971
1000.0000000000,408.0000000000,845.0000000000,1253.0000000000,1004.0775523389,0.0001144517
1000.0000000000,495.0000000000,814.0000000000,1309.0000000000,910.3208156043,0.0001149004
1000.0000000000,392.0000000000,741.0000000000,1133.0000000000,944.4588381614,0.0001152972
1000.0000000000,391.0000000000,577.0000000000,968.0000000000,1023.5877217674,0.0001156523
1000.0000000000,468.0000000000,707.0000000000,1175.0000000000,1083.6254900498,0.0001160976
1000.0000000000,319.0000000000,829.0000000000,1148.0000000000,924.8388290216,0.0001164948
1000.0000000000,451.0000000000,799.0000000000,1250.0000000000,976.1966845445,0.0001169410
1000.0000000000,428.0000000000,670.0000000000,1098.0000000000,958.4821680906,0.0001173288
1000.0000000000,483.0000000000,775.0000000000,1258.0000000000,1004.7528778047,0.0001177854
1000.0000000000,346.0000000000,845.0000000000,1191.0000000000,1010.7245363053,0.0001182191
1000.0000000000,455.0000000000,644.0000000000,1099.0000000000,1081.9161762234,0.0001186352
1000.0000000000,477.0000000000,516.0000000000,993.0000000000,999.2026933732,0.0001189945
1000.0000000000,398.0000000000,897.0000000000,1295.0000000000,905.8289619542,0.0001194371
1000.0000000000,403.0000000000,704.0000000000,1107.0000000000,942.3558249920,0.0001198243
1000.0000000000,341.0000000000,884.0000000000,1225.0000000000,1060.9844481800,0.0001202830
1003.3444816054,401.3377926421,815.7190635452,1217.0568561873,974.7660510394,0.0001207170
1006.6889632107,491.2642140468,765.0836120401,1256.3478260870,1000.1743803851,0.0001211718
1010.0334448161,308.0602006689,638.3411371237,946.4013377926,1013.2834230276,0.0001215170
1013.3779264214,332.3879598662,882.6521739130,1215.0401337793,1103.3690693884,0.0001219822
1016.7224080268,437.1906354515,865.2307692308,1302.4214046823,1087.6845692785,0.0001224768
1020.0668896321,452.9096989967,531.4548494983,984.3645484950,997.8886911578,0.0001228326
1023.4113712375,418.5752508361,782.9096989967,1201.4849498328,1018.2053648099,0.0001232721
1026.7558528428,390.1672240803,535.9665551839,926.1337792642,941.2229321510,0.0001235958
1030.1003344482,361.5652173913,570.6755852843,932.2408026756,1012.0870633699,0.0001239355
1033.4448160535,437.1471571906,552.8929765886,990.0401337793,981.9389364578,0.0001242901
1036.7892976589,499.7324414716,627.2575250836,1126.9899665552,1088.5431346367,0.0001247183
1040.1337792642,450.3779264214,527.3478260870,977.7257525084,1067.7066802347,0.0001250857
1043.4782608696,378.7826086957,929.7391304348,1308.5217391304,1103.3680230172,0.0001255867
1046.8227424749,435.4782608696,922.2508361204,1357.7290969900,1031.7248738974,0.0001260870
